"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score"
"SI","2017-10-01","94.1","-1.8772","5.3007","Matt Albers",607732,458006,"null","ball",,,,,"14","null","R","R","R","WSH","PIT","B","null","null",1,2,2017,"-1.6896","0.8644","1.0627","1.4474","605137.00","656669.00","621559.00",2,8,"Top","null","null",,,446653,,"171001_224900","11.6146","-136.4658","-6.3216","-24.2240","28.6498","-19.8672","3.3188","1.5096","null","null","null","95.4580","2005","7.1480",492525,458006,446653,435062,594694,506703,607208,150029,572191,457477,"53.3494","null","null","null","null","null","null","null",84,"4","Sinker",6,10,10,6,10,6,10,6
"SI","2017-10-01","92.8","2.5474","5.5157","Oliver Perez",621559,424144,"walk","ball",,,,,"12","Max Moroff walks.   Starling Marte scores.    Josh Bell to 3rd.    Jordan Luplow to 2nd.  ","R","R","L","WSH","PIT","B","null","null",3,2,2017,"1.6709","0.9912","0.7710","3.6255","516782.00","605137.00","656669.00",2,8,"Top","null","null",,,446653,,"171001_224431","-8.1835","-134.7249","-1.1768","22.1780","30.0209","-20.0531","3.2903","1.6704","null","null","null","92.7130","2140","6.4140",492525,424144,446653,435062,594694,506703,607208,150029,572191,457477,"54.0836","null","null","0.70",1,0,0,"null",83,"6","Sinker",6,9,9,6,9,6,9,6
"SI","2017-10-01","93.0","2.3159","5.4943","Oliver Perez",621559,424144,"null","ball",,,,,"12","null","R","R","L","WSH","PIT","B","null","null",0,1,2017,"1.3838","1.0358","0.2760","3.6820","516782.00","605137.00","656669.00",2,8,"Top","null","null",,,446653,,"171001_224253","-8.2771","-134.8990","-1.0967","18.8278","30.4616","-19.4440","3.2903","1.5961","null","null","null","92.9990","2224","6.5390",492525,424144,446653,435062,594694,506703,607208,150029,572191,457477,"53.9584","null","null","null","null","null","null","null",83,"2","Sinker",6,9,9,6,9,6,9,6
"SI","2017-10-01","92.0","2.5792","5.2862","Oliver Perez",656669,424144,"null","swinging_strike",,,,,"4","null","R","R","L","WSH","PIT","S","null","null",2,0,2017,"1.4706","1.2035","-0.5111","2.8186","516782.00","605137.00","null",2,8,"Top","null","null",,,446653,,"171001_223948","-10.9570","-133.2756","-2.9716","19.8374","27.8644","-17.4028","3.6230","1.3479","null","null","null","91.7650","2125","6.3240",492525,424144,446653,435062,594694,506703,607208,150029,572191,457477,"54.1733","null","null","null","null","null","null","null",82,"3","Sinker",6,9,9,6,9,6,9,6
"SI","2017-10-01","90.2","-1.0624","5.5222","Sam Gaviglio",502117,543208,"field_out","hit_into_play",,,,,"8","Kristopher Negron grounds out sharply, second baseman Whit Merrifield to first baseman Brandon Moss.  ","R","R","R","KC","ARI","X",4,"ground_ball",1,1,2017,"-1.5422","0.4154","-0.0680","1.6133","543302.00","null","453923.00",2,8,"Top","148.25","151.71",,,460077,,"171001_222540","5.8431","-131.2622","-4.8056","-19.3735","22.9095","-26.5487","3.2674","1.1980","11","104.1","-7.9820","91.7250","2134","6.8090",492514,543208,460077,461235,593160,596144,609275,624585,449181,593528,"53.6930","0.338","0.312","0.00",1,0,0,2,77,"3","Sinker",2,13,13,2,13,2,13,2
"SI","2017-10-01","89.8","-0.9673","5.5602","Sam Gaviglio",502117,543208,"null","ball",,,,,"13","null","R","R","R","KC","ARI","B","null","null",0,1,2017,"-1.6903","0.5490","-0.8482","0.9534","543302.00","null","453923.00",2,8,"Top","null","null",,,460077,,"171001_222520","3.9065","-130.6866","-6.7090","-20.4430","23.8248","-24.7169","3.5944","1.6839","null","null","null","90.8160","2081","6.5960",492514,543208,460077,461235,593160,596144,609275,624585,449181,593528,"53.9058","null","null","null","null","null","null","null",77,"2","Sinker",2,13,13,2,13,2,13,2
"SI","2017-10-01","94.2","-0.2705","6.3676","Edgar Santana",435062,650828,"null","ball",,,,,"11","null","R","R","R","WSH","PIT","B","null","null",1,1,2017,"-1.2183","1.1914","-0.0267","3.9196","506703.00","null","150029.00",2,6,"Bot","null","null",,,607732,,"171001_215357","3.2635","-136.8470","-3.2255","-15.8579","30.0816","-16.8898","3.3471","1.4971","null","null","null","93.6210","2143","6.0200",492525,650828,607732,605137,607471,501896,621559,516782,446481,656669,"54.4767","null","null","null","null","null","null","null",65,"3","Sinker",4,8,4,8,8,4,4,8
"SI","2017-10-01","94.0","-1.6571","6.4696","Brandon McCarthy",467827,435221,"field_out","hit_into_play",,,,,"4","Gerardo Parra grounds out, shortstop Charlie Culberson to first baseman Cody Bellinger.  ","R","L","R","COL","LAD","X",6,"ground_ball",0,2,2017,"-0.7150","0.8399","-0.5990","2.1087","null","606132.00","null",2,7,"Bot","108.45","151.24",,,571657,,"171001_220511","4.2586","-136.5415","-7.3983","-9.7328","26.9039","-20.4775","3.1158","1.3280","6","92.5","-19.1800","93.6970","2074","5.9690",492521,435221,571657,641355,605131,574847,518586,657077,592626,572204,"54.5309","0.163","0.142","0.00",1,0,0,2,69,"4","Sinker",3,6,3,6,6,3,3,6
"SI","2017-10-01","94.4","-0.4906","6.3075","Edgar Santana",150029,650828,"null","ball",,,,,"11","null","R","R","R","WSH","PIT","B","null","null",2,0,2017,"-1.4098","0.9980","-1.5501","3.6448","506703.00","null","null",2,6,"Bot","null","null",,,607732,,"171001_215143","0.2990","-137.1125","-3.3348","-17.4804","32.1726","-19.3202","3.8505","1.8069","null","null","null","93.2950","2229","5.8640",492525,650828,607732,605137,607471,501896,621559,516782,446481,656669,"54.6331","null","null","null","null","null","null","null",64,"3","Sinker",4,8,4,8,8,4,4,8
"SI","2017-10-01","90.0","3.5563","4.4830","Hoby Milner",621512,571948,"null","ball",,,,,"11","null","R","R","L","PHI","NYM","B","null","null",1,2,2017,"1.1178","1.0845","-1.6006","2.6798","null","null","null",2,8,"Top","null","null",,,595284,,"171001_215351","-15.2311","-129.9635","-0.7358","16.1306","27.9435","-19.7376","3.2416","1.6405","null","null","null","90.1140","1968","6.8290",492523,571948,595284,656555,514917,596748,641487,571437,546318,608384,"53.6702","null","null","null","null","null","null","null",66,"4","Sinker",6,0,0,6,0,6,0,6
"SI","2017-10-01","89.7","3.6448","4.5762","Hoby Milner",621512,571948,"null","called_strike",,,,,"1","null","R","R","L","PHI","NYM","S","null","null",1,1,2017,"1.2377","1.1758","-0.6341","2.8519","null","null","null",2,8,"Top","null","null",,,595284,,"171001_215335","-13.2384","-129.6564","-0.6682","17.0382","29.1298","-18.8722","3.2598","1.5675","null","null","null","89.5530","1928","6.7260",492523,571948,595284,656555,514917,596748,641487,571437,546318,608384,"53.7727","null","null","null","null","null","null","null",66,"3","Sinker",6,0,0,6,0,6,0,6
"SI","2017-10-01","95.3","-0.4194","6.3140","Edgar Santana",150029,650828,"null","ball",,,,,"11","null","R","R","R","WSH","PIT","B","null","null",0,0,2017,"-1.3234","1.0305","-0.8876","3.5710","506703.00","null","null",2,6,"Bot","null","null",,,607732,,"171001_215059","1.6701","-138.2301","-3.7192","-17.0243","34.6325","-18.5728","3.9491","1.9302","null","null","null","94.0300","2206","5.9920",492525,650828,607732,605137,607471,501896,621559,516782,446481,656669,"54.5052","null","null","null","null","null","null","null",64,"1","Sinker",4,8,4,8,8,4,4,8
"SI","2017-10-01","88.9","3.7076","4.4995","Hoby Milner",621512,571948,"null","ball",,,,,"13","null","R","R","L","PHI","NYM","B","null","null",0,0,2017,"1.4493","0.8497","-1.1763","2.2968","null","null","null",2,8,"Top","null","null",,,595284,,"171001_215258","-15.0455","-128.2858","-1.0290","19.4545","28.0024","-22.6723","3.2051","1.5492","null","null","null","88.7450","1987","6.7690",492523,571948,595284,656555,514917,596748,641487,571437,546318,608384,"53.7294","null","null","null","null","null","null","null",66,"1","Sinker",6,0,0,6,0,6,0,6
