"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score"
"SI","2017-05-31","90.9","2.0646","5.7941","T.J. McFarland",605137,519008,"field_out","hit_into_play",,,,,"12","Josh Bell grounds out, second baseman Chris Owings to first baseman Paul Goldschmidt.  ","R","R","L","PIT","ARI","X",4,"ground_ball",1,0,2017,"1.1796","0.7147","0.9502","2.7090","null","null","null",1,14,"Bot","139.74","144.36",,,455104,,"170531_225021","-5.1795","-131.9196","-3.2673","14.5901","27.2987","-23.5459","3.4991","1.5596","11","89.9","-11.8810","89.8930","2057","5.7530",490889,519008,455104,502671,572008,571875,605113,453923,571681,444482,"54.7480","0.177","0.138","0.00",1,0,0,2,115,"2","Sinker",5,6,5,6,6,5,5,6
"SI","2017-05-31","90.9","2.0319","5.6077","T.J. McFarland",605137,519008,"null","ball",,,,,"13","null","R","R","L","PIT","ARI","B","null","null",0,0,2017,"1.1819","0.3191","-0.0056","1.0001","null","null","null",1,14,"Bot","null","null",,,455104,,"170531_225000","-7.4700","-131.8891","-6.2210","15.0802","27.0135","-27.4776","3.5971","1.7156","null","null","null","89.9130","1999","5.7590",490889,519008,455104,502671,572008,571875,605113,453923,571681,444482,"54.7422","null","null","null","null","null","null","null",115,"1","Sinker",5,6,5,6,6,5,5,6
"SI","2017-05-31","92.1","2.0759","5.6000","T.J. McFarland",553869,519008,"null","ball",,,,,"14","null","R","R","L","PIT","ARI","B","null","null",0,0,2017,"1.0092","0.1510","1.9222","1.8020","null","null","null",1,13,"Bot","null","null",,,455104,,"170531_223102","-2.4461","-133.7383","-4.0682","12.2733","27.7352","-29.8218","3.4910","1.5767","null","null","null","90.6520","2168","5.4330",490889,519008,455104,502671,572008,571875,605113,453923,571681,444482,"55.0679","null","null","null","null","null","null","null",105,"1","Sinker",5,5,5,5,5,5,5,5
"SI","2017-05-31","91.4","2.1145","5.7982","T.J. McFarland",543281,519008,"null","called_strike",,,,,"8","null","R","R","L","PIT","ARI","S","null","null",0,0,2017,"1.0247","0.7016","0.0286","2.0657","null","null","null",1,12,"Bot","null","null",,,455104,,"170531_221827","-7.2900","-132.6027","-4.9356","13.3348","26.6758","-23.2893","3.5524","1.6260","null","null","null","90.3760","1993","5.6940",490889,519008,455104,502671,572008,571875,605113,453923,571681,444482,"54.8076","null","null","null","null","null","null","null",99,"1","Sinker",5,5,5,5,5,5,5,5
"SI","2017-05-31","92.9","3.3363","5.1254","Tony Watson",571875,453265,"null","ball",,,,,"11","null","R","L","L","PIT","ARI","B","null","null",0,2,2017,"0.5553","0.7994","-1.0459","3.7655","null","null","null",1,10,"Top","null","null",,,553869,,"170531_195022","-12.2990","-134.5426","0.5734","9.1689","26.8675","-22.8353","3.4756","1.6976","null","null","null","92.3670","2216","6.0500",490889,453265,553869,605137,543281,501896,474568,624428,457705,444379,"54.4512","null","null","null","null","null","null","null",76,"4","Sinker",4,4,4,4,4,4,4,4
"SI","2017-05-31","93.9","3.3902","5.1495","Tony Watson",571875,453265,"null","called_strike",,,,,"4","null","R","L","L","PIT","ARI","S","null","null",0,0,2017,"0.7262","1.0402","-0.4174","2.3681","null","null","null",1,10,"Top","null","null",,,553869,,"170531_194922","-11.3057","-136.0342","-3.7254","11.1357","25.9058","-18.8017","3.5434","1.6875","null","null","null","93.4420","2280","5.9660",490889,453265,553869,605137,543281,501896,474568,624428,457705,444379,"54.5355","null","null","null","null","null","null","null",76,"1","Sinker",4,4,4,4,4,4,4,4
"SI","2017-05-31","90.8","-2.5176","4.6845","Pat Neshek",595375,450212,"strikeout","swinging_strike",,,,,"13","J.  T.   Riddle strikes out swinging.  ","R","L","R","MIA","PHI","S",2,"null",1,2,2017,"-1.2186","0.6951","-1.1741","2.2185","null","null","null",1,7,"Bot","null","null",,,595284,,"170531_194724","5.8148","-131.8311","-1.6948","-15.1308","26.7361","-24.1084","3.6673","1.4357","null","null","null","89.8520","1977","5.7190",490901,450212,595284,571830,514917,596748,520471,435062,546318,571437,"54.7785","null","null","0.00",1,0,0,"null",68,"4","Sinker",10,2,10,2,2,10,10,2
"SI","2017-05-31","88.0","-2.5287","3.5427","Darren O'Day",458731,503285,"field_out","hit_into_play_score",,,,,"8","Brett Gardner grounds out, first baseman Chris Davis to pitcher Darren O'Day.   Ronald Torreyes scores.    Austin Romine to 3rd.  ","R","L","R","BAL","NYY","X",3,"ground_ball",0,1,2017,"-1.5302","-0.3989","-0.0841","1.3169","591720.00","519222.00","null",1,8,"Top","149.08","165.69",,,543376,,"170601_020749","9.1960","-127.7390","1.5814","-18.8940","26.6036","-37.1243","2.9258","1.2888","28","99.5","-1.6440","88.5120","2225","6.7660",490899,503285,543376,448801,570731,592518,429666,641820,430945,452234,"53.7355","0.434","0.390","0.00",1,0,0,2,70,"2","Sinker",9,3,3,9,3,9,3,9
"SI","2017-05-31","88.3","-2.6432","4.4988","Pat Neshek",595375,450212,"null","swinging_strike",,,,,"8","null","R","L","R","MIA","PHI","S","null","null",0,0,2017,"-1.4900","0.5358","-0.1663","2.0274","null","null","null",1,7,"Bot","null","null",,,595284,,"170531_194631","8.9674","-127.9336","-0.9586","-18.0104","27.2361","-26.4220","3.6673","1.4357","null","null","null","87.2880","2004","5.9530",490901,450212,595284,571830,514917,596748,520471,435062,546318,571437,"54.5447","null","null","null","null","null","null","null",68,"1","Sinker",10,2,10,2,2,10,10,2
"SI","2017-05-31","95.5","-2.6540","5.6533","Jared Hughes",457803,453172,"grounded_into_double_play","hit_into_play",,,,,"6","Jay Bruce grounds into a double play, second baseman Eric Sogard to shortstop Orlando Arcia to first baseman Jesus Aguilar.   Asdrubal Cabrera out at 2nd.  ","R","L","R","NYM","MIL","X",4,"ground_ball",2,2,2017,"-1.4711","0.8207","0.7059","2.1115","425784.00","624424.00","452678.00",1,7,"Bot","140.50","149.19",,,444489,,"170601_014845","12.0061","-138.1141","-5.3854","-21.4455","32.5639","-20.7571","3.4427","1.4836","55","62.3","5.3350","94.4600","2305","6.1490",490898,453172,444489,542583,519299,543768,606115,519346,542979,541650,"54.3507","0.131","0.127","0.00",1,0,0,2,66,"5","Sinker",0,7,0,7,7,0,0,7
